"","Date","State","covid","mask","qanon","social distancing","vaccine","vaccine near me","cases","deaths","total_vaccinations","total_distributed","people_vaccinated","people_fully_vaccinated_per_hundred","total_vaccinations_per_hundred","people_fully_vaccinated","people_vaccinated_per_hundred","distributed_per_hundred","daily_vaccinations_raw","daily_vaccinations","daily_vaccinations_per_million","share_doses_used"
"168",2021-01-04,"Louisiana",53,30,3,0,32,20,322181,7585,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169",2021-01-04,"Maine",57,49,11,0,17,0,25967,361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170",2021-01-04,"Maryland",47,29,0,0,17,2,287802,6027,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171",2021-01-04,"Massachusetts",58,19,0,0,12,3,392568,12671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172",2021-01-04,"Michigan",37,14,0,0,11,9,543611,13391,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173",2021-01-04,"Minnesota",38,28,6,0,6,11,423688,5502,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174",2021-01-04,"Mississippi",31,24,0,0,8,0,223677,4884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175",2021-01-04,"Missouri",38,14,6,0,7,4,454015,5772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176",2021-01-04,"Montana",36,11,0,0,12,0,82664,975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177",2021-01-04,"Nebraska",39,4,0,0,7,0,169585,1682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178",2021-01-04,"Nevada",58,15,0,24,10,0,233032,3206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"179",2021-01-04,"New Hampshire",71,7,0,0,13,0,47870,781,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180",2021-01-04,"New Jersey",65,18,7,7,15,13,547247,19225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181",2021-01-04,"New Mexico",61,15,0,0,28,0,147315,2574,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"182",2021-01-04,"New York",71,37,2,3,19,9,1035139,38599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183",2021-01-04,"North Carolina",61,45,4,0,16,13,570111,6941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184",2021-01-04,"North Dakota",47,14,0,0,15,0,93240,1319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185",2021-01-04,"Ohio",54,36,2,0,13,7,727423,14100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186",2021-01-04,"Oklahoma",47,34,0,0,15,10,307091,2552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
