"","state","term","outcome","croscor","lagd"
"194","Alaska","covid","daily_vaccinations",0.200770073484024,-1
"195","Alaska","covid","daily_vaccinations",-0.108307345871543,0
"196","Alaska","covid","daily_vaccinations_per_million",0.13473867791088,-14
"197","Alaska","covid","daily_vaccinations_per_million",-0.0263331738127565,-13
"198","Alaska","covid","daily_vaccinations_per_million",0.0876721869098512,-12
"199","Alaska","covid","daily_vaccinations_per_million",0.059923533631362,-11
"200","Alaska","covid","daily_vaccinations_per_million",0.000586088267365034,-10
"201","Alaska","covid","daily_vaccinations_per_million",0.0123221957988437,-9
"202","Alaska","covid","daily_vaccinations_per_million",-0.0566371069093486,-8
"203","Alaska","covid","daily_vaccinations_per_million",0.0106216407269087,-7
"204","Alaska","covid","daily_vaccinations_per_million",0.0121038776136968,-6
"205","Alaska","covid","daily_vaccinations_per_million",-0.0678753769676335,-5
"206","Alaska","covid","daily_vaccinations_per_million",-0.108696904150851,-4
"207","Alaska","covid","daily_vaccinations_per_million",-0.0796349751109264,-3
"208","Alaska","covid","daily_vaccinations_per_million",0.0109230718635573,-2
"209","Alaska","covid","daily_vaccinations_per_million",0.200805560060808,-1
"210","Alaska","covid","daily_vaccinations_per_million",-0.108315322556772,0
"211","Alaska","mask","daily_vaccinations",0.0470955129686594,-14
"212","Alaska","mask","daily_vaccinations",-0.14240918018732,-13
"213","Alaska","mask","daily_vaccinations",-0.0803858495751704,-12
"214","Alaska","mask","daily_vaccinations",0.141172979585168,-11
"215","Alaska","mask","daily_vaccinations",0.00321705218163513,-10
"216","Alaska","mask","daily_vaccinations",-0.0197084970701571,-9
"217","Alaska","mask","daily_vaccinations",-0.0243765730658294,-8
"218","Alaska","mask","daily_vaccinations",0.0824873124428573,-7
"219","Alaska","mask","daily_vaccinations",0.129388361951078,-6
"220","Alaska","mask","daily_vaccinations",-0.0527688406237747,-5
"221","Alaska","mask","daily_vaccinations",-0.0429576396518384,-4
"222","Alaska","mask","daily_vaccinations",-0.00068827884625027,-3
"223","Alaska","mask","daily_vaccinations",0.00347725618493083,-2
"224","Alaska","mask","daily_vaccinations",0.168375308832897,-1
"225","Alaska","mask","daily_vaccinations",-0.29406302648539,0
"226","Alaska","mask","daily_vaccinations_per_million",0.0470552153379481,-14
"227","Alaska","mask","daily_vaccinations_per_million",-0.142439698221144,-13
"228","Alaska","mask","daily_vaccinations_per_million",-0.0803161852431746,-12
"229","Alaska","mask","daily_vaccinations_per_million",0.141141102849559,-11
"230","Alaska","mask","daily_vaccinations_per_million",0.00325466435954142,-10
"231","Alaska","mask","daily_vaccinations_per_million",-0.0197643791171859,-9
"232","Alaska","mask","daily_vaccinations_per_million",-0.0243500334094544,-8
"233","Alaska","mask","daily_vaccinations_per_million",0.082418808806468,-7
"234","Alaska","mask","daily_vaccinations_per_million",0.129510096772084,-6
"235","Alaska","mask","daily_vaccinations_per_million",-0.0528553234987596,-5
"236","Alaska","mask","daily_vaccinations_per_million",-0.0429148640226186,-4
"237","Alaska","mask","daily_vaccinations_per_million",-0.000674823963889291,-3
"238","Alaska","mask","daily_vaccinations_per_million",0.00344317822377352,-2
